epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.754,2.80053,0.83883,0.61318,2.78459,3.1166,0.4051,0.34481,0.33587,0.13676,0.53355,0.46527,0.49293,0.37943,2.04082,0.81933,0.49388,2.26227,2.53493,0.0700092,0.00333231,0.00333231
2,1080.47,1.81491,0.67538,0.53697,1.96884,2.18702,0.63392,0.56518,0.58969,0.30386,0.69045,0.63191,0.68326,0.5739,1.62526,0.65637,0.47664,1.68552,2.07596,0.0400059,0.00666232,0.00666232
3,1544.46,1.59699,0.59048,0.5162,1.6997,1.94307,0.68407,0.60134,0.6648,0.37563,0.72238,0.65681,0.73183,0.63401,1.47837,0.58967,0.46285,1.48135,1.8922,0.00998927,0.00997905,0.00997905
4,1964.54,1.47936,0.53918,0.49897,1.54798,1.81543,0.72931,0.64102,0.71914,0.43211,0.75503,0.67585,0.76288,0.68101,1.35045,0.51418,0.4361,1.29269,1.75385,0.0099552,0.0099552,0.0099552
5,2387.86,1.39516,0.49583,0.48272,1.42086,1.72942,0.74311,0.65803,0.73321,0.4607,0.7723,0.69358,0.77759,0.69715,1.28125,0.48227,0.4227,1.21203,1.67698,0.00992045,0.00992045,0.00992045
6,2807.58,1.34567,0.46793,0.47313,1.34972,1.68023,0.7429,0.69123,0.7608,0.48886,0.76848,0.71836,0.79418,0.72296,1.23272,0.44573,0.41186,1.13259,1.62678,0.00987589,0.00987589,0.00987589
7,3224.54,1.30789,0.44859,0.4645,1.30008,1.64518,0.75362,0.70168,0.7746,0.50242,0.77821,0.7289,0.8085,0.73929,1.2058,0.42789,0.40358,1.09358,1.59929,0.00982162,0.00982162,0.00982162
8,3674.05,1.28275,0.43317,0.45877,1.26248,1.61634,0.75264,0.70885,0.77974,0.51528,0.78284,0.72987,0.80951,0.74555,1.17078,0.41327,0.3951,1.05623,1.56311,0.00975773,0.00975773,0.00975773
9,4118.05,1.25998,0.41877,0.45279,1.23451,1.59734,0.77014,0.71371,0.79079,0.52667,0.7903,0.74017,0.81824,0.75616,1.15287,0.39683,0.39303,1.03252,1.54624,0.00968436,0.00968436,0.00968436
10,4575.83,1.24373,0.4094,0.4489,1.20771,1.57801,0.76898,0.7164,0.79602,0.53667,0.78903,0.74064,0.8223,0.75981,1.13038,0.3877,0.38984,1.00758,1.5247,0.00960166,0.00960166,0.00960166
11,5002.5,1.23071,0.40604,0.44397,1.19361,1.56917,0.76799,0.7245,0.80128,0.543,0.78444,0.7523,0.82828,0.767,1.11617,0.37821,0.38377,0.98844,1.50855,0.0095098,0.0095098,0.0095098
12,5421.91,1.21725,0.39598,0.44144,1.17817,1.55744,0.75848,0.73821,0.80426,0.54914,0.77481,0.75764,0.82808,0.76967,1.1071,0.37103,0.37959,0.9714,1.49867,0.00940895,0.00940895,0.00940895
13,5834.52,1.20851,0.38953,0.43849,1.16128,1.54714,0.77713,0.73069,0.80864,0.55626,0.78965,0.76083,0.83277,0.77536,1.09761,0.36501,0.37768,0.95777,1.4902,0.00929932,0.00929932,0.00929932
14,6263.14,1.19762,0.38699,0.43727,1.1444,1.53721,0.77256,0.73719,0.81261,0.55861,0.7877,0.76331,0.83545,0.77797,1.08899,0.35976,0.37575,0.94482,1.48006,0.00918114,0.00918114,0.00918114
15,6684.1,1.18719,0.3811,0.43308,1.13446,1.52578,0.77758,0.74529,0.81607,0.5634,0.79467,0.76168,0.83548,0.77858,1.08054,0.3557,0.37338,0.93302,1.47105,0.00905463,0.00905463,0.00905463
16,7100.28,1.18089,0.37671,0.43153,1.12962,1.52151,0.78217,0.74448,0.81888,0.56657,0.79447,0.76384,0.83914,0.78282,1.07309,0.35116,0.37218,0.92529,1.46373,0.00892007,0.00892007,0.00892007
17,7545.28,1.17118,0.37505,0.42994,1.11526,1.51152,0.77114,0.75461,0.8211,0.56782,0.79091,0.76969,0.84102,0.78616,1.06785,0.34735,0.37104,0.92159,1.45781,0.0087777,0.0087777,0.0087777
18,7984.02,1.16815,0.36775,0.42724,1.11033,1.50538,0.78211,0.74469,0.82247,0.56963,0.79698,0.76493,0.84251,0.78777,1.06424,0.34457,0.36974,0.91744,1.45324,0.00862783,0.00862783,0.00862783
19,8441.59,1.16083,0.36709,0.42597,1.10281,1.49818,0.78416,0.74246,0.82344,0.57183,0.79898,0.76372,0.8425,0.7888,1.06153,0.34176,0.36879,0.91316,1.44981,0.00847076,0.00847076,0.00847076
20,8856.37,1.15219,0.36043,0.42308,1.08965,1.4914,0.7838,0.74428,0.82528,0.57389,0.80209,0.7623,0.84417,0.79123,1.05819,0.33922,0.36784,0.9093,1.44578,0.0083068,0.0083068,0.0083068
21,9267.8,1.14391,0.35892,0.42335,1.08126,1.48517,0.78368,0.74744,0.82606,0.57483,0.79716,0.76787,0.84472,0.79255,1.05529,0.3373,0.36738,0.90606,1.44191,0.00813627,0.00813627,0.00813627
