epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,791.986,3.04265,6.65024,0.63158,2.85308,3.08852,0.42385,0.2888,0.27916,0.11703,0.11027,0.05362,0.01747,0.00318,2.19488,5.12754,0.53655,2.12525,2.28893,0.0700075,0.0033325,0.0033325
2,1509.09,1.93505,5.33894,0.50048,1.89442,1.98029,0.63308,0.42618,0.49321,0.25711,0.3927,0.17957,0.13254,0.03578,1.7047,3.99498,0.43385,1.60503,1.78047,0.0400042,0.00666251,0.00666251
3,2219.07,1.69988,4.73123,0.43742,1.6473,1.72937,0.66924,0.50136,0.57081,0.321,0.47058,0.25318,0.2046,0.06222,1.53322,3.48508,0.37962,1.39273,1.58868,0.00998756,0.00997924,0.00997924
4,2916.56,1.58396,4.3552,0.40541,1.5001,1.60682,0.70556,0.54317,0.61774,0.36757,0.5518,0.29317,0.2587,0.08953,1.41316,3.13107,0.35206,1.25384,1.46504,0.0099552,0.0099552,0.0099552
5,3599.18,1.49498,4.07971,0.3847,1.3844,1.52292,0.73563,0.56152,0.64776,0.39789,0.59231,0.31525,0.29691,0.11197,1.33944,2.91604,0.34302,1.15185,1.39462,0.00992045,0.00992045,0.00992045
6,4283.19,1.43898,3.88445,0.3728,1.3139,1.47193,0.7332,0.58364,0.66663,0.4173,0.60751,0.33154,0.31608,0.12524,1.2946,2.76482,0.32781,1.09109,1.35815,0.00987589,0.00987589,0.00987589
7,4969.52,1.40035,3.7481,0.36489,1.26423,1.43631,0.75492,0.5886,0.68103,0.43336,0.61659,0.33888,0.32883,0.13717,1.2502,2.64709,0.31938,1.04792,1.31631,0.00982162,0.00982162,0.00982162
8,5651.05,1.36705,3.65202,0.3596,1.22498,1.40882,0.76456,0.60231,0.69356,0.44643,0.63651,0.35328,0.34602,0.14887,1.22399,2.55584,0.31423,1.00587,1.29521,0.00975773,0.00975773,0.00975773
9,6335.28,1.34326,3.56747,0.35534,1.19095,1.38764,0.76457,0.6116,0.70114,0.45594,0.64286,0.35842,0.35228,0.15627,1.20149,2.48417,0.3099,0.97531,1.27303,0.00968436,0.00968436,0.00968436
10,7034.29,1.32855,3.51846,0.35195,1.17474,1.37235,0.77525,0.61063,0.70635,0.46475,0.65606,0.36247,0.3614,0.16351,1.18619,2.42274,0.30657,0.95772,1.26017,0.00960166,0.00960166,0.00960166
11,7717.7,1.31271,3.44953,0.34806,1.15451,1.35717,0.76786,0.62554,0.71257,0.4706,0.65901,0.36655,0.36765,0.16918,1.16961,2.37211,0.30274,0.94112,1.24667,0.0095098,0.0095098,0.0095098
12,8398.88,1.29695,3.38061,0.34492,1.13393,1.34364,0.78013,0.62521,0.71666,0.47533,0.6478,0.37459,0.37299,0.17354,1.16046,2.33297,0.30029,0.92756,1.23688,0.00940895,0.00940895,0.00940895
13,9114.81,1.28577,3.34524,0.343,1.11929,1.33572,0.77925,0.63041,0.72049,0.47975,0.64953,0.37623,0.37587,0.17747,1.15046,2.3035,0.29841,0.91889,1.22939,0.00929932,0.00929932,0.00929932
14,9825.51,1.27466,3.29966,0.34103,1.10916,1.32666,0.7814,0.62895,0.72287,0.48267,0.65458,0.37695,0.37885,0.18087,1.14426,2.27517,0.29639,0.91063,1.22427,0.00918114,0.00918114,0.00918114
15,10544.1,1.2654,3.24724,0.33655,1.0972,1.31661,0.78525,0.62977,0.72505,0.4851,0.66523,0.37471,0.38149,0.18403,1.13905,2.25466,0.2948,0.904,1.21965,0.00905463,0.00905463,0.00905463
16,11235.3,1.2541,3.22731,0.33571,1.08489,1.30766,0.78555,0.63249,0.72648,0.4873,0.66509,0.37736,0.38309,0.18635,1.13396,2.23492,0.29348,0.89824,1.21471,0.00892007,0.00892007,0.00892007
17,11917.4,1.24909,3.18156,0.33321,1.07532,1.30139,0.78603,0.6333,0.7288,0.48867,0.66357,0.38195,0.38581,0.18831,1.12949,2.21851,0.29246,0.89462,1.21092,0.0087777,0.0087777,0.0087777
18,12602.1,1.24395,3.14222,0.33226,1.06991,1.29708,0.78841,0.63459,0.73002,0.49023,0.65686,0.38689,0.38831,0.19065,1.12527,2.20299,0.29169,0.89062,1.20712,0.00862783,0.00862783,0.00862783
19,13303.8,1.23443,3.11201,0.3309,1.05791,1.28846,0.78781,0.63667,0.73158,0.49188,0.65906,0.38736,0.39009,0.19254,1.12136,2.18817,0.2908,0.88699,1.20383,0.00847076,0.00847076,0.00847076
20,13992,1.22698,3.07736,0.32836,1.05241,1.28073,0.79224,0.63622,0.7332,0.49375,0.65245,0.39122,0.39212,0.19448,1.11846,2.17378,0.29001,0.8833,1.20072,0.0083068,0.0083068,0.0083068
21,14680.3,1.22422,3.04744,0.32627,1.04572,1.27598,0.79183,0.63804,0.73458,0.4954,0.65471,0.3927,0.39387,0.19719,1.11497,2.16022,0.28917,0.87959,1.19744,0.00813627,0.00813627,0.00813627
22,15367.9,1.2188,3.01902,0.32484,1.03763,1.26927,0.78976,0.64042,0.73635,0.49667,0.65822,0.39331,0.39565,0.19885,1.11229,2.14748,0.28816,0.8767,1.1944,0.00795954,0.00795954,0.00795954
